class_index,class,height,width,scale by
0,A,40,40,1
1,AA,40,40,1
2,Ai,40,40,1
3,Ala,40,40,1
4,Alaa,40,40,1
5,Alai,40,40,1
6,Alam,40,40,1
7,Alau,40,40,1
8,Ale,40,40,1
9,Alee,40,40,1
10,Ali,40,40,1
11,Alo,40,40,1
12,Aloo,40,40,1
13,Alu,40,40,1
14,Am,40,40,1
15,Ana,40,40,1
16,Anaa,40,40,1
17,Anai,40,40,1
18,Anam,40,40,1
19,Anau,40,40,1
20,Ane,40,40,1
21,Anee,40,40,1
22,Ani,40,40,1
23,Ano,40,40,1
24,Anoo,40,40,1
25,Anu,40,40,1
26,Au,40,40,1
27,Ba,40,40,1
28,Baa,40,40,1
29,Bai,40,40,1
30,Bam,40,40,1
31,Bau,40,40,1
32,Be,40,40,1
33,Bee,40,40,1
34,Bha,40,40,1
35,Bhaa,40,40,1
36,Bhai,40,40,1
37,Bham,40,40,1
38,Bhau,40,40,1
39,Bhe,40,40,1
40,Bhee,40,40,1
41,Bhi,40,40,1
42,Bho,40,40,1
43,Bhoo,40,40,1
44,Bhu,40,40,1
45,Bi,40,40,1
46,Bo,40,40,1
47,Boo,40,40,1
48,Bu,40,40,1
49,Cha,40,40,1
50,Chaa,40,40,1
51,Chai,40,40,1
52,Cham,40,40,1
53,Chau,40,40,1
54,Che,40,40,1
55,Chee,40,40,1
56,Chha,40,40,1
57,Chhaa,40,40,1
58,Chhai,40,40,1
59,Chham,40,40,1
60,Chhau,40,40,1
61,Chhe,40,40,1
62,Chhee,40,40,1
63,Chhi,40,40,1
64,Chho,40,40,1
65,Chhoo,40,40,1
66,Chhu,40,40,1
67,Chi,40,40,1
68,Cho,40,40,1
69,Choo,40,40,1
70,Chu,40,40,1
71,DDO,40,40,1
72,DDa,40,40,1
73,DDaa,40,40,1
74,DDai,40,40,1
75,DDam,40,40,1
76,DDau,40,40,1
77,DDe,40,40,1
78,DDee,40,40,1
79,DDha,40,40,1
80,DDhaa,40,40,1
81,DDhai,40,40,1
82,DDham,40,40,1
83,DDhau,40,40,1
84,DDhe,40,40,1
85,DDhee,40,40,1
86,DDhi,40,40,1
87,DDho,40,40,1
88,DDhoo,40,40,1
89,DDhu,40,40,1
90,DDi,40,40,1
91,DDoo,40,40,1
92,DDu,40,40,1
93,Da,40,40,1
94,Daa,40,40,1
95,Dai,40,40,1
96,Dam,40,40,1
97,Dau,40,40,1
98,De,40,40,1
99,Dee,40,40,1
100,Dha,40,40,1
101,Dhaa,40,40,1
102,Dhai,40,40,1
103,Dham,40,40,1
104,Dhau,40,40,1
105,Dhe,40,40,1
106,Dhee,40,40,1
107,Dhi,40,40,1
108,Dho,40,40,1
109,Dhoo,40,40,1
110,Dhu,40,40,1
111,Di,40,40,1
112,Do,40,40,1
113,Doo,40,40,1
114,Du,40,40,1
115,E,40,40,1
116,EE,40,40,1
117,Ga,40,40,1
118,Gaa,40,40,1
119,Gai,40,40,1
120,Gam,40,40,1
121,Gau,40,40,1
122,Ge,40,40,1
123,Gee,40,40,1
124,Gha,40,40,1
125,Ghaa,40,40,1
126,Ghai,40,40,1
127,Gham,40,40,1
128,Ghau,40,40,1
129,Ghe,40,40,1
130,Ghee,40,40,1
131,Ghi,40,40,1
132,Gho,40,40,1
133,Ghoo,40,40,1
134,Ghu,40,40,1
135,Gi,40,40,1
136,Gna,40,40,1
137,Gnaa,40,40,1
138,Gnai,40,40,1
139,Gnam,40,40,1
140,Gnau,40,40,1
141,Gne,40,40,1
142,Gnee,40,40,1
143,Gni,40,40,1
144,Gno,40,40,1
145,Gnoo,40,40,1
146,Gnu,40,40,1
147,Go,40,40,1
148,Goo,40,40,1
149,Gu,40,40,1
150,Ha,40,40,1
151,Haa,40,40,1
152,Hai,40,40,1
153,Ham,40,40,1
154,Hau,40,40,1
155,He,40,40,1
156,Hee,40,40,1
157,Hi,40,40,1
158,Ho,40,40,1
159,Hoo,40,40,1
160,Hu,40,40,1
161,I,40,40,1
162,Ja,40,40,1
163,Jaa,40,40,1
164,Jai,40,40,1
165,Jam,40,40,1
166,Jau,40,40,1
167,Je,40,40,1
168,Jee,40,40,1
169,Ji,40,40,1
170,Jo,40,40,1
171,Joo,40,40,1
172,Ju,40,40,1
173,Ka,40,40,1
174,Kaa,40,40,1
175,Kai,40,40,1
176,Kam,40,40,1
177,Kau,40,40,1
178,Ke,40,40,1
179,Kee,40,40,1
180,Kha,40,40,1
181,Khaa,40,40,1
182,Khai,40,40,1
183,Kham,40,40,1
184,Khau,40,40,1
185,Khe,40,40,1
186,Khee,40,40,1
187,Khi,40,40,1
188,Kho,40,40,1
189,Khoo,40,40,1
190,Khu,40,40,1
191,Ki,40,40,1
192,Ko,40,40,1
193,Koo,40,40,1
194,Ksh,40,40,1
195,Ksha,40,40,1
196,Kshai,40,40,1
197,Ksham,40,40,1
198,Kshau,40,40,1
199,Kshe,40,40,1
200,Kshee,40,40,1
201,Kshi,40,40,1
202,Ksho,40,40,1
203,Kshoo,40,40,1
204,Kshu,40,40,1
205,Ku,40,40,1
206,La,40,40,1
207,Laa,40,40,1
208,Lai,40,40,1
209,Lam,40,40,1
210,Lau,40,40,1
211,Le,40,40,1
212,Lee,40,40,1
213,Li,40,40,1
214,Lo,40,40,1
215,Loo,40,40,1
216,Lu,40,40,1
217,Ma,40,40,1
218,Maa,40,40,1
219,Mai,40,40,1
220,Mam,40,40,1
221,Mau,40,40,1
222,Me,40,40,1
223,Mee,40,40,1
224,Mi,40,40,1
225,Mo,40,40,1
226,Moo,40,40,1
227,Mu,40,40,1
228,Na,40,40,1
229,Naa,40,40,1
230,Nai,40,40,1
231,Nam,40,40,1
232,Nau,40,40,1
233,Ne,40,40,1
234,Nee,40,40,1
